LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA20110,27,55,82,17,28,44,18,41,60,21,116,139,64,339,408,78,207,292,282,139,420,252,176,431,263,143,403,347,95,437,209,64,276,257,36,296,472,80,556,310,7,321,249,10,258,116,10,128,286,32,319,228,17,250,54,63,115,3567,1661,5222
LGA20260,29,37,67,11,17,31,15,59,73,15,111,124,74,351,425,74,165,235,239,140,376,220,154,375,237,137,372,271,93,361,185,67,249,215,59,278,403,66,470,257,5,263,158,12,178,93,8,100,172,26,194,227,9,238,52,82,136,2939,1599,4541
LGA20570,220,387,611,96,158,251,92,442,537,150,990,1136,504,2697,3198,693,1818,2511,2027,1115,3144,1860,1430,3293,2213,1484,3696,2587,1040,3626,1877,854,2734,1939,630,2565,3836,847,4682,2812,140,2951,2213,189,2408,1308,45,1353,2991,274,3263,1622,216,1838,350,514,868,29393,15263,44654
LGA20660,365,475,838,144,140,290,154,398,551,151,736,887,445,1863,2305,479,1231,1711,1347,991,2341,1362,1043,2406,1754,1172,2920,2023,953,2977,1606,940,2545,1748,737,2483,3914,1276,5193,3489,160,3648,3219,277,3490,2369,70,2436,7666,378,8048,1681,189,1869,356,360,718,34279,13389,47666
LGA20740,150,194,342,77,92,171,72,173,251,87,437,526,300,1201,1504,280,808,1087,1021,486,1509,860,519,1387,1013,451,1457,1042,299,1341,623,241,863,739,164,904,1236,205,1439,806,13,817,586,47,631,347,12,362,767,95,864,691,55,745,207,263,472,10909,5757,16662
LGA20830,161,194,351,84,77,155,73,211,285,77,380,458,302,1041,1344,314,742,1060,1091,463,1553,986,545,1532,1118,513,1636,1246,367,1616,944,314,1261,1086,243,1327,2136,299,2437,1487,38,1524,1118,65,1186,607,6,610,1489,110,1598,958,44,995,261,247,508,15542,5897,21441
LGA20910,304,394,699,113,190,304,133,290,428,96,544,636,289,1193,1479,275,893,1173,687,707,1391,758,796,1552,1044,853,1899,1240,685,1920,922,619,1544,1021,539,1555,2280,1040,3319,1966,60,2022,2078,330,2411,1540,37,1575,11015,725,11738,1641,74,1718,262,311,574,27673,10264,37936
LGA21010,30,53,85,21,29,46,23,86,103,25,144,167,103,454,554,78,283,356,364,189,555,319,169,489,338,191,526,364,125,491,243,93,329,231,56,290,452,77,527,325,11,336,219,19,235,146,0,147,243,37,284,286,24,301,72,130,200,3873,2165,6033
LGA21110,746,702,1452,247,248,498,252,480,737,212,732,942,456,1463,1914,465,1346,1808,1092,1155,2250,1078,1370,2442,1612,1616,3225,2001,1557,3554,1540,1448,2992,1728,1232,2958,4006,2302,6307,3259,284,3538,3239,651,3883,2446,170,2618,16589,1345,17932,2576,375,2945,346,370,716,43878,18840,62715
LGA21180,1006,833,1838,261,189,443,399,588,985,471,1291,1759,1179,2817,3997,1111,1238,2351,3504,915,4422,3075,1196,4270,3372,1280,4658,4014,1002,5017,3032,799,3832,2930,639,3570,5950,954,6902,4495,215,4715,3398,245,3646,2189,102,2287,4649,328,4979,2754,284,3042,726,511,1235,48529,15422,63949
